SN,Type,Opt.:,AR:,,f_min,,f_max,MHz,f0_Label,Rfin for  @ nm [dBm],fset,unit,ac. reson. [MHz],user wl 1 [nm],user wl 2 [nm],Rf 1rad [dBm],,aperture,wavefront dist lambda/x,intensity [W/mm^2],R_ar,DC at wl 1,DC at wl 2,tuning turns,sensor type (pt1000 or 10kNTC)
SN22.0375R,PM7-NIR_4,"Opt.: W,T",AR: 630-1100nm,f0: ,3.1,-,4.6,MHz,f0: 3.1-4.6MHz,,4,MHz,"3.60, 3.98, 4.07",780,895,15.4,16.6,3x3,6,0.2,1,,,18,pt1000
SN22.0376R,PM7-NIR_4,"Opt.: W,T",AR: 630-1100nm,f0: ,3.0,-,4.6,MHz,f0: 3.0-4.6MHz,,4,MHz,"3.60, 3.80, 3.98",780,895,15.4,16.6,3x3,6,0.2,1,,,18,pt1000
SN22.0377R,PM7-NIR_4,"Opt.: W,T",AR: 630-1100nm,f0: ,3.2,-,4.7,MHz,f0: 3.2-4.7MHz,,4,MHz,"3.60, 3.78, 3.98",780,895,15.4,16.6,3x3,6,0.2,1,,,18,pt1000
SN22.0378R,PM7-NIR_4,"Opt.: W,T",AR: 630-1100nm,f0: ,3.0,-,4.6,MHz,f0: 3.0-4.6MHz,,4,MHz,"3.60, 3.80, 3.98",780,895,15.4,16.6,3x3,6,0.2,1,,,18,pt1000
SN22.0379R,PM8-NIR_60,"Opt.: W,DC,TXC,T",AR: 630-1100nm,f0: ,52.4,-,67.3,MHz,f0: 52.4-67.3MHz,,60,MHz,53.16+2.5*n,840,920,20.6,21.4,3x3,6,0.5,1,260,290,18,pt1000
SN22.0380R,PM8-NIR_60,"Opt.: W,DC,TXC,T",AR: 630-1100nm,f0: ,54.7,-,67.2,MHz,f0: 54.7-67.2MHz,,60,MHz,53.16+2.5*n,840,920,19.8,20.6,3x3,6,0.5,1,260,290,18,pt1000
SN22.0381R,PM8-SWIR1_60,"Opt.: W,DC,TXC,T",AR: 1000-1700nm,f0: ,53.0,-,67.4,MHz,f0: 53.0-67.4MHz,,60,MHz,53.16+2.5*n,1000,1045,21.8,22.2,3x3,6,10,1,310,325,18,pt1000
SN22.0382R,PM8-SWIR1_60,"Opt.: W,DC,TXC,T",AR: 1000-1700nm,f0: ,52.8,-,67.6,MHz,f0: 52.8-67.6MHz,,60,MHz,53.16+2.5*n,1000,1045,21.8,22.2,3x3,6,10,1,310,325,18,pt1000
SN22.0823,PM7-NIR_5,Opt.: ,AR: 630-1100nm,f0: ,5.08,,,MHz,f0: 5.08MHz,,5.08,MHz,,767,,6.4,,3x3,6,0.1,1,,,,
SN22.0803,PM7-SWIR1_5.2,"Opt.: W,DC,TXC,T",AR: 1000-1700nm,f0: ,4.69,-,5.97,MHz,f0: 4.69-5.97MHz,,5.2,MHz,"5.54, 5.73, 5.81",1550,,21.9,,3x3,6,2,1,480,,18,pt1000
,,,,,,,,,,,,,,,,,,3x3,6,,1,,,,
,,,,,,,,,,,,,,,,,,3x3,6,,1,,,,
,,,,,,,,,,,,,,,,,,3x3,6,,1,,,,
,,,,,,,,,,,,,,,,,,3x3,6,,1,,,,
,,,,,,,,,,,,,,,,,,3x3,6,,1,,,,
,,,,,, ,,,,,,,,,,,,3x3,6,,1,,,,
